,,"Legal blood alcohol concentration (BAC) limits","Legal blood alcohol concentration (BAC) limits","Legal blood alcohol concentration (BAC) limits"
"Countries, territories and areas","Year","General population","Young/novice drivers","Professional/commercial drivers"
"Afghanistan","2016","total ban","total ban","total ban"
"Albania","2016","0.01%","0.01%","0.01%"
"Algeria","2016","0.02%","0.02%","0.02%"
"Andorra","2016","0.05%","0.05%","0.02%"
"Angola","2016","0.06%","0.06%","0.06%"
"Antigua and Barbuda","2016","none","none","none"
"Argentina","2016","0.05%","0.05%","0.0005"
"Armenia","2016","0.08%","0.08%","0.08%"
"Australia","2016","0.05%","zero tolerance","0.02%"
"Austria","2016","0.05%","0.01%","0.01%"
"Azerbaijan","2016","zero tolerance","zero tolerance","zero tolerance"
"Bahamas","2016","0.08%","0.08%","0.08%"
"Bahrain","2016",".",".","."
"Bangladesh","2016","zero tolerance","zero tolerance","zero tolerance"
"Barbados","2016","none","none","none"
"Belarus","2016","0.03%","0.03%","0.03%"
"Belgium","2016","0.05%","0.05%","0.05%"
"Belize","2016","0.08%","0.08%","0.08%"
"Benin","2016","0.05%","0.05%","0.05%"
"Bhutan","2016","0.08%","zero tolerance","zero tolerance"
"Bolivia (Plurinational State of)","2016","0.05%","0.05%","0.05%"
"Bosnia and Herzegovina","2016","0.03%","zero tolerance","0.03%"
"Botswana","2016","0.05%","0.05%","0.05%"
"Brazil","2016","zero tolerance","zero tolerance","zero tolerance"
"Brunei Darussalam","2016",".",".","."
"Bulgaria","2016","0.05%","0.05%","0.05%"
"Burkina Faso","2016","0.05%","0.05%","0.05%"
"Burundi","2016","none","none","none"
"Cote d'Ivoire","2016","0.08%","0.08%","0.08%"
"Cabo Verde","2016","0.08%","0.08%","0.08%"
"Cambodia","2016","0.05%","0.05%","0.05%"
"Cameroon","2016","0.08%","0.08%","0.08%"
"Canada","2016","0.08%","0.08%","0.08%"
"Central African Republic","2016","0.08%","0.08%","0.08%"
"Chad","2016","0.08%","0.08%","0.08%"
"Chile","2016","0.03%","0.03%","0.03%"
"China","2016","0.02%","0.02%","0.02%"
"Colombia","2016","0.02%","0.02%","0.02%"
"Comoros","2016","none","none","none"
"Congo","2016","0.08%","0.08%","0.08%"
"Cook Islands","2016","0.08%","0.08%","0.08%"
"Costa Rica","2016","0.05%","0.02%","0.02%"
"Croatia","2016","0.05%","zero tolerance","zero tolerance"
"Cuba","2016","0.01%","0.01%","0.01%"
"Cyprus","2016","0.05%","0.02%","0.02%"
"Czechia","2016","zero tolerance","zero tolerance","zero tolerance"
"Democratic People's Republic of Korea","2016",".",".","."
"Democratic Republic of the Congo","2016","0.05%","0.05%","0.05%"
"Denmark","2016","0.05%","0.05%","0.05%"
"Djibouti","2016","zero tolerance","zero tolerance","zero tolerance"
"Dominica","2016","0.08%","0.08%","0.08%"
"Dominican Republic","2016","0.05%","0.05%","Zero tolerance"
"Ecuador","2016","0.03%","0.03%","0.01%"
"Egypt","2016","none","none","none"
"El Salvador","2016","0.05%","0.05%","0.05%"
"Equatorial Guinea","2016","0.05%","0.05%","0.05%"
"Eritrea","2016","0.05%","0.05%","0.03%"
"Estonia","2016","0.02%","0.02%","0.02%"
"Eswatini","2016","0.04%","0.04%","0.04%"
"Ethiopia","2016","0.08%","0.08%","0.08%"
"Fiji","2016","0.08%","zero tolerance","zero tolerance"
"Finland","2016","0.05%","0.05%","0.05%"
"France","2016","0.05%","0.02%","0.02%"
"Gabon","2016","0.08%","0.08%","0.08%"
"Gambia","2016","none","none","none"
"Georgia","2016","0.03%","0.03%","0.03%"
"Germany","2016","0.05%","zero tolerance","zero tolerance"
"Ghana","2016","0.08%","0.08%","0.08%"
"Greece","2016","0.05%","0.02%","0.02%"
"Grenada","2016","none","none","none"
"Guatemala","2016","none","none","none"
"Guinea","2016","0.08%","0.08%","0.08%"
"Guinea-Bissau","2016","none","none","none"
"Guyana","2016","0.08%","0.08%","0.08%"
"Haiti","2016",".",".","."
"Honduras","2016","0.07%","0.07%","0.07%"
"Hungary","2016","zero tolerance","zero tolerance","zero tolerance"
"Iceland","2016","0.05%","0.05%","0.05%"
"India","2016","0.03%","0.03%","0.03%"
"Indonesia","2016","none","none","none"
"Iran (Islamic Republic of)","2016","zero tolerance","zero tolerance","zero tolerance"
"Iraq","2016","0.04%","0.04%","0.04%"
"Ireland","2016","0.05%","0.02%","0.02%"
"Israel","2016","0.05%","0.01%","0.01%"
"Italy","2016","0.05%","zero tolerance","zero tolerance"
"Jamaica","2016","0.08%","0.08%","0.08%"
"Japan","2016","0.03%","0.03%","0.03%"
"Jordan","2016","0.08%","0.08%","0.08%"
"Kazakhstan","2016","zero tolerance","zero tolerance","zero tolerance"
"Kenya","2016","0.08%","0.08%","0.08%"
"Kiribati","2016","0.08%","0.08%","0.08%"
"Kuwait","2016",".",".","."
"Kyrgyzstan","2016",".",".","."
"Lao People's Democratic Republic","2016","0.05%","0.05%","0.05%"
"Latvia","2016","0.05%","0.02%","0.05%"
"Lebanon","2016","0.05%","zero tolerance","zero tolerance"
"Lesotho","2016","0.08%","0.08%","0.08%"
"Liberia","2016","none","none","none"
"Libya","2016",".",".","."
"Lithuania","2016","0.04%","zero tolerance","zero tolerance"
"Luxembourg","2016","0.05%","0.02%","0.02%"
"Madagascar","2016","0.04%","0.04%","0.04%"
"Malawi","2016","0.08%","0.08%","0.08%"
"Malaysia","2016","0.08%","0.08%","0.08%"
"Maldives","2016","total ban","total ban","total ban"
"Mali","2016","0.03%","0.03%","0.03%"
"Malta","2016","0.08%","0.08%","0.08%"
"Marshall Islands","2016","none","none","none"
"Mauritania","2016","total ban","total ban","total ban"
"Mauritius","2016","0.05%","0.05%","0.05%"
"Mexico","2016","sub-national","sub-national","sub-national"
"Micronesia (Federated States of)","2016",".",".","."
"Monaco","2016","0.02%","0.02%","0.02%"
"Mongolia","2016","0.05%","0.05%","0.05%"
"Montenegro","2016","0.03%","0.03%","0.03%"
"Morocco","2016","0.02%","0.02%","0.02%"
"Mozambique","2016","0.06%","0.06%","zero tolerance"
"Myanmar","2016","0.08%","0.08%","0.08%"
"Namibia","2016","0.08%","0.08%","0.08%"
"Nauru","2016",".",".","."
"Nepal","2016",".",".","."
"Netherlands (Kingdom of the)","2016","0.05%","0.02%","0.05%"
"New Zealand","2016","0.05%","zero tolerance","0.05%"
"Nicaragua","2016","0.05%","0.05%","0.02%"
"Niger","2016","none","none","none"
"Nigeria","2016","0.08%","0.08%","0.08%"
"Niue","2016",".",".","."
"North Macedonia","2016","0.05%","zero tolerance","zero tolerance"
"Norway","2016","0.02%","0.02%","0.02%"
"Oman","2016","0.08%","0.08%","0.08%"
"Pakistan","2016","zero tolerance","zero tolerance","zero tolerance"
"Palau","2016","0.10%","0.10%","0.10%"
"Panama","2016","0.05%","0.05%","0.05%"
"Papua New Guinea","2016",".",".","."
"Paraguay","2016","Zero tolerance","Zero tolerance","Zero tolerance"
"Peru","2016","0.05%","0.05%","0.03%"
"Philippines","2016","0.05%","0.05%","0.05%"
"Poland","2016","0.02%","0.02%","0.02%"
"Portugal","2016","0.05%","0.02%","0.02%"
"Qatar","2016",".",".","."
"Republic of Korea","2016","0.05%","0.05%","0.05%"
"Republic of Moldova","2016","0.03%","0.03%","0.03%"
"Romania","2016","zero tolerance","zero tolerance","zero tolerance"
"Russian Federation","2016","0.04%","0.04%","0.04%"
"Rwanda","2016","0.08%","0.08%","0.08%"
"Saint Kitts and Nevis","2016","0.08%","0.08%","0.08%"
"Saint Lucia","2016","0.08%","0.08%","0.08%"
"Saint Vincent and the Grenadines","2016","none","none","none"
"Samoa","2016","0.04%","0.04%","0.04%"
"San Marino","2016","0.05%","0.05%","0.05%"
"Sao Tome and Principe","2016","none","none","none"
"Saudi Arabia","2016","total ban","total ban","total ban"
"Senegal","2016","none","none","none"
"Serbia","2016","0.03%","zero tolerance","zero tolerance"
"Seychelles","2016","0.08%","0.08%","0.08%"
"Sierra Leone","2016","none","none","none"
"Singapore","2016","0.08%","0.08%","0.08%"
"Slovakia","2016","zero tolerance","zero tolerance","zero tolerance"
"Slovenia","2016","0.05%","zero tolerance","zero tolerance"
"Solomon Islands","2016",".",".","."
"Somalia","2016","total ban","total ban","total ban"
"South Africa","2016","0.05%","0.05%","0.02%"
"South Sudan","2016","none","none","none"
"Spain","2016","0.05%","0.03%","0.03%"
"Sri Lanka","2016","0.08%","0.08%","0.08%"
"Sudan","2016","total ban","total ban","total ban"
"Suriname","2016","0.05%","0.05%","0.05%"
"Sweden","2016","0.02%","0.02%","0.02%"
"Switzerland","2016","0.05%","0.01%","0.01%"
"Syrian Arab Republic","2016","none","none","none"
"Turkiye","2016","0.05%","0.02%","0.02%"
"Tajikistan","2016","0.03%","0.03%","0.03%"
"Thailand","2016","0.05%","0.05%","0.05%"
"Timor-Leste","2016","0.05%","0.05%","0.05%"
"Togo","2016","none","none","none"
"Tonga","2016","0.03%","0.03%","0.03%"
"Trinidad and Tobago","2016","0.08%","0.08%","0.08%"
"Tunisia","2016","0.05%","0.05%","0.05%"
"Turkmenistan","2016","0.03%","0.03%","0.03%"
"Tuvalu","2016",".",".","."
"Uganda","2016","0.08%","0.08%","0.08%"
"Ukraine","2016","0.02%","0.02%","0.02%"
"United Arab Emirates","2016","zero tolerance","zero tolerance","zero tolerance"
"United Kingdom of Great Britain and Northern Ireland","2016","subnational","subnational","subnational"
"United Republic of Tanzania","2016","0.08%","0.08%","0.08%"
"United States of America","2016","0.08%","sub-national","0.04%"
"Uruguay","2016","zero tolerance","zero tolerance","zero tolerance"
"Uzbekistan","2016","zero tolerance","zero tolerance","zero tolerance"
"Vanuatu","2016",".",".","."
"Venezuela (Bolivarian Republic of)","2016","0.08%","0.08%","0.08%"
"Viet Nam","2016","zero tolerance","zero tolerance","zero tolerance"
"Yemen","2016","total ban","total ban","total ban"
"Zambia","2016","0.08%","0.08%","0.08%"
"Zimbabwe","2016","0.08%","0.08%","0.08%"
